Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
glocks-fried-chicken-classic-logo-tee,Glocks & Fried Chicken Classic Logo Tee,"<p>Core logo tee and first-buyer staple for the Glocks & Fried Chicken local merch drop. Join the waiting list to help decide what gets ordered.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, logo tee, waitlist, Glocks & Fried Chicken",TRUE,Size,Waitlist Interest,GFC-CLASSIC-TEE-WAITLIST,,deny,manual,31.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/classic-logo-tee.png,Glocks & Fried Chicken Classic Logo Tee rendering,draft
gloxsie-character-tee,Gloxsie Character Tee,"<p>Character-led graphic tee featuring Gloxsie for the first Glocks & Fried Chicken local merch drop.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, character tee, Gloxsie, waitlist",TRUE,Size,Waitlist Interest,GFC-GLOXSIE-TEE-WAITLIST,,deny,manual,34.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/gloxsie-character-tee.png,Gloxsie Character Tee rendering,draft
bobo-character-tee,Bobo Character Tee,"<p>Cream/neutral character tee featuring Bobo as a bold front graphic for the local drop waiting list.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, character tee, Bobo, waitlist",TRUE,Size,Waitlist Interest,GFC-BOBO-TEE-WAITLIST,,deny,manual,34.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/bobo-character-tee.png,Bobo Character Tee rendering,draft
character-grid-tee,Character Grid Tee,"<p>Full character lineup tee for fans of the Glocks & Fried Chicken universe.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, character grid, waitlist",TRUE,Size,Waitlist Interest,GFC-GRID-TEE-WAITLIST,,deny,manual,38.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/character-grid-tee.png,Character Grid Tee rendering,draft
womens-fitted-logo-tee,Women's Fitted Logo Tee,"<p>Fitted women's logo tee with boutique front/back layout.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, womens tee, logo tee, waitlist",TRUE,Size,Waitlist Interest,GFC-WOMENS-FITTED-WAITLIST,,deny,manual,32.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/womens-fitted-tee.png,Women's Fitted Logo Tee rendering,draft
womens-crop-logo-tee,Women's Crop Logo Tee,"<p>Cropped Glocks & Fried Chicken logo tee built for local-drop fit checks.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, crop tee, logo tee, waitlist",TRUE,Size,Waitlist Interest,GFC-WOMENS-CROP-WAITLIST,,deny,manual,34.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/womens-crop-tee.png,Women's Crop Logo Tee rendering,draft
premium-oversized-tee,Premium Oversized Tee,"<p>Higher-ticket oversized streetwear tee with vintage Glocks & Fried Chicken logo treatment.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, oversized tee, premium tee, waitlist",TRUE,Size,Waitlist Interest,GFC-OVERSIZED-TEE-WAITLIST,,deny,manual,44.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/premium-oversized-tee.png,Premium Oversized Tee rendering,draft
youth-logo-tee,Youth Logo Tee,"<p>Kids logo tee for family-friendly Glocks & Fried Chicken merch bundles.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, youth tee, family merch, waitlist",TRUE,Size,Waitlist Interest,GFC-YOUTH-LOGO-TEE-WAITLIST,,deny,manual,26.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/youth-logo-tee.png,Youth Logo Tee rendering,draft
youth-character-tee,Youth Character Tee,"<p>Kids character tee using the full Glocks & Fried Chicken lineup.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, youth tee, character tee, waitlist",TRUE,Size,Waitlist Interest,GFC-YOUTH-CHARACTER-TEE-WAITLIST,,deny,manual,28.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/youth-character-tee.png,Youth Character Tee rendering,draft
toddler-cuppy-tee,Toddler Cuppy Tee,"<p>Toddler tee featuring Cuppy for the family-friendly side of the local drop.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"local drop, toddler tee, Cuppy, waitlist",TRUE,Size,Waitlist Interest,GFC-TODDLER-CUPPY-WAITLIST,,deny,manual,24.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/toddler-cuppy-tee.png,Toddler Cuppy Tee rendering,draft
glocks-fried-chicken-hoodie,Glocks & Fried Chicken Hoodie,"<p>Adult hoodie with front logo and larger back character artwork for the first local drop vote.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Outerwear,Hoodie,"local drop, hoodie, waitlist",TRUE,Size,Waitlist Interest,GFC-ADULT-HOODIE-WAITLIST,,deny,manual,64.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/adult-hoodie.png,Glocks & Fried Chicken Hoodie rendering,draft
youth-logo-hoodie,Youth Logo Hoodie,"<p>Kids hoodie with centered Glocks & Fried Chicken logo print.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Outerwear,Hoodie,"local drop, youth hoodie, family merch, waitlist",TRUE,Size,Waitlist Interest,GFC-YOUTH-HOODIE-WAITLIST,,deny,manual,54.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/youth-hoodie.png,Youth Logo Hoodie rendering,draft
vintage-logo-crewneck,Vintage Logo Crewneck,"<p>Ash gray crewneck with distressed circular Glocks & Fried Chicken logo print.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing > Outerwear,Sweatshirt,"local drop, crewneck, waitlist",TRUE,Size,Waitlist Interest,GFC-CREWNECK-WAITLIST,,deny,manual,58.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/crewneck-sweatshirt.png,Vintage Logo Crewneck rendering,draft
logo-dad-hat,Logo Dad Hat,"<p>Black dad hat with simplified Glocks & Fried Chicken logo patch.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing Accessories > Hats,Hat,"local drop, dad hat, accessories, waitlist",TRUE,Size,One Size,GFC-DAD-HAT-WAITLIST,,deny,manual,34.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/dad-hat.png,Logo Dad Hat rendering,draft
logo-beanie,Logo Beanie,"<p>Black knit beanie with small Glocks & Fried Chicken logo patch.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing Accessories > Hats,Beanie,"local drop, beanie, accessories, waitlist",TRUE,Size,One Size,GFC-BEANIE-WAITLIST,,deny,manual,31.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/beanie.png,Logo Beanie rendering,draft
character-sticker-pack,Character Sticker Pack,"<p>Entry-price sticker pack featuring the Glocks & Fried Chicken logo and character stickers.</p>",Glocks & Fried Chicken,Apparel & Accessories > Clothing Accessories,Sticker Pack,"local drop, stickers, accessories, waitlist",TRUE,Size,One Size,GFC-STICKER-PACK-WAITLIST,,deny,manual,11.99,TRUE,TRUE,https://trustchainservices.com/gafc/mockups/sticker-pack.png,Character Sticker Pack rendering,draft
